,character,freq,meaning,on,kun,nanori
0,亜,1509,"['Asia', 'rank next', 'come after', '-ous']",['ア'],['つ.ぐ'],"['や', 'つぎ', 'つぐ']"
1,唖,,"['mute', 'dumb']","['ア', 'アク']",['おし'],[]
2,娃,,['beautiful'],"['ア', 'アイ', 'ワ']",['うつく.しい'],['い']
3,阿,1126,"['Africa', 'flatter', 'fawn upon', 'corner', 'nook', 'recess']","['ア', 'オ']","['おもね.る', 'くま']","['ほとり', 'あず', 'あわ', 'おか', 'きた', 'な']"
4,哀,1715,"['pathetic', 'grief', 'sorrow', 'pathos', 'pity', 'sympathize']",['アイ'],"['あわ.れ', 'あわ.れむ', 'かな.しい']",[]
5,愛,640,"['love', 'affection', 'favourite']",['アイ'],"['いと.しい', 'かな.しい', 'め.でる', 'お.しむ', 'まな']","['あ', 'あし', 'え', 'かな', 'なる', 'めぐ', 'めぐみ', 'よし', 'ちか']"
6,挨,2258,"['approach', 'draw near', 'push open']",['アイ'],['ひら.く'],[]
7,姶,,"['good-looking', 'quiet']","['オウ', 'アイ']",['あい'],[]
8,逢,2116,"['meeting', 'tryst', 'date', 'rendezvous']",['ホウ'],"['あ.う', 'むか.える']","['あい', 'おう']"
9,葵,2122,['hollyhock'],['キ'],['あおい'],"['まもる', 'け']"
10,茜,2422,"['madder', 'red dye', 'Turkey red']",['セン'],['あかね'],[]
11,穐,,['autumn'],['シュウ'],"['あき', 'とき']",[]
12,悪,530,"['bad', 'vice', 'rascal', 'false', 'evil', 'wrong']","['アク', 'オ']","['わる.い', 'わる-', 'あ.し', 'にく.い', '-にく.い', 'ああ', 'いずくに', 'いずくんぞ', 'にく.む']",[]
13,握,1003,"['grip', 'hold', 'mould sushi', 'bribe']",['アク'],['にぎ.る'],[]
14,渥,2257,"['kindness', 'moisten']",['アク'],"['あつ.い', 'うるお.う']",['あつし']
15,旭,1417,"['rising sun', 'morning sun']",['キョク'],['あさひ'],"['あきら', 'あき', 'てる', 'ひ']"
16,葦,2343,"['reed', 'bullrush']",['イ'],"['しお.れる', 'しな.びる', 'しぼ.む', 'な.える']",['あし']
17,芦,1733,"['reed', 'bullrush']",['ロ'],"['あし', 'よし']",['あ']
18,鯵,,['horse mackerel'],['ソウ'],['あじ'],[]
19,梓,2301,"['catalpa tree', 'woodblock printing']",['シ'],['あずさ'],[]
20,圧,718,"['pressure', 'push', 'overwhelm', 'oppress', 'dominate']","['アツ', 'エン', 'オウ']","['お.す', 'へ.す', 'おさ.える', 'お.さえる']",[]
21,斡,,"['go around', 'rule', 'administer']","['アツ', 'カン', 'ワツ']","['めぐ.る', 'めぐ.らす']",[]
22,扱,1057,"['handle', 'entertain', 'thresh', 'strip']","['ソウ', 'キュウ']","['あつか.い', 'あつか.う', 'あつか.る', 'こ.く']",[]
23,宛,,"['address', 'just like', 'fortunately']",['エン'],"['あ.てる', '-あて', '-づつ', 'あたか.も']",[]
24,姐,,"['elder sister', 'maidservant']","['ソ', 'シャ']","['あね', 'ねえさん']",[]
25,虻,,"['gadfly', 'horsefly']",['ボウ'],['あぶ'],[]
26,飴,,"['rice jelly', 'candy']","['イ', 'シ']","['あめ', 'やしな.う']",[]
27,絢,2315,['brilliant fabric design'],['ケン'],[],"['じゅん', 'あや']"
28,綾,1759,"['design', 'figured cloth', 'twill']",['リン'],['あや'],['りょう']
29,鮎,2201,"['freshwater trout', 'smelt']","['デン', 'ネン']","['あゆ', 'なまず']",['あい']
30,或,2378,"['some', 'one', 'or', 'possibly', 'a certain']","['ワク', 'コク', 'イキ']","['あ.る', 'あるい', 'あるいは']",[]
31,粟,2146,['millet'],"['ゾク', 'ショク', 'ソク']","['あわ', 'もみ']","['あ', 'さっ', 'そう']"
32,袷,,['lined (kimono)'],"['コウ', 'キョウ']",['あわせ'],[]
33,安,144,"['relax', 'cheap', 'low', 'quiet', 'rested', 'contented', 'peaceful']",['アン'],"['やす.い', 'やす.まる', 'やす', 'やす.らか']","['あ', 'あす', 'あず', 'あっ', 'や']"
34,庵,2119,"['hermitage', 'retreat']",['アン'],"['いおり', 'いお']","['あ', 'い', 'いほり']"
35,按,,"['hold', 'consider', 'investigate']",['アン'],"['おさ.える', 'しら.べる']",[]
36,暗,1040,"['darkness', 'disappear', 'shade', 'informal', 'grow dark', 'be blinded']",['アン'],"['くら.い', 'くら.む', 'くれ.る']",[]
37,案,206,"['plan', 'suggestion', 'draft', 'ponder', 'fear', 'proposition', 'idea', 'expectation', 'worry', 'table', 'bench']",['アン'],['つくえ'],[]
38,闇,1969,"['get dark', 'gloom', 'disorder']","['アン', 'オン']","['やみ', 'くら.い']",[]
39,鞍,2214,['saddle'],['アン'],['くら'],[]
40,杏,2159,['apricot'],"['キョウ', 'アン', 'コウ']",['あんず'],['りょう']
41,以,126,"['by means of', 'because', 'in view of', 'compared with']",['イ'],['もっ.て'],['もち']
42,伊,703,"['Italy', 'that one']",['イ'],['かれ'],"['これ', 'ただ', 'よし', 'いと', 'だ']"
43,位,276,"['rank', 'grade', 'throne', 'crown', 'about', 'some']",['イ'],"['くらい', 'ぐらい']",['ぞき']
44,依,906,"['reliant', 'depend on', 'consequently', 'therefore', 'due to']","['イ', 'エ']",['よ.る'],"['よ', 'より']"
45,偉,1639,"['admirable', 'greatness', 'remarkable', 'conceited', 'famous', 'excellent']",['イ'],['えら.い'],['ひで']
46,囲,771,"['surround', 'besiege', 'store', 'paling', 'enclosure', 'encircle', 'preserve', 'keep']",['イ'],"['かこ.む', 'かこ.う', 'かこ.い']",[]
47,夷,2324,"['barbarian', 'savage', 'Ainu']",['イ'],"['えびす', 'えみし', 'ころ.す', 'たい.らげる']",['し']
48,委,187,"['committee', 'entrust to', 'leave to', 'devote', 'discard']",['イ'],['ゆだ.ねる'],['まかせ']
49,威,1103,"['intimidate', 'dignity', 'majesty', 'menace', 'threaten']",['イ'],"['おど.す', 'おど.し', 'おど.かす']","['いさ', 'たけ', 'たけし']"
50,尉,2007,"['military officer', 'jailer', 'old man', 'rank']","['イ', 'ジョウ']",[],[]
51,惟,2246,"['consider', 'reflect', 'think']","['イ', 'ユイ']","['おも.んみる', 'これ', 'おも.うに']","['ただ', 'よし', 'のぶ']"
52,意,99,"['idea', 'mind', 'heart', 'taste', 'thought', 'desire', 'care', 'liking']",['イ'],[],"['もと', 'よし']"
53,慰,1158,"['consolation', 'amusement', 'seduce', 'cheer', 'make sport of', 'comfort', 'console']",['イ'],"['なぐさ.める', 'なぐさ.む']",[]
54,易,571,"['easy', 'ready to', 'simple', 'fortune-telling', 'divination']","['エキ', 'イ']","['やさ.しい', 'やす.い']",[]
55,椅,2245,['chair'],['イ'],[],[]
56,為,831,"['do', 'change', 'make', 'benefit', 'welfare', 'be of use', 'reach to', 'try', 'practice', 'cost', 'serve as', 'good', 'advantage', 'as a result of']",['イ'],"['ため', 'な.る', 'な.す', 'す.る', 'たり', 'つく.る', 'なり']",['びい']
57,畏,2389,"['fear', 'majestic', 'graciously', 'be apprehensive']",['イ'],"['おそ.れる', 'かしこま.る', 'かしこ', 'かしこ.し']",[]
58,異,631,"['uncommon', 'different', 'queerness', 'strangeness', 'wonderful', 'curious', 'unusual']",['イ'],"['こと', 'こと.なる', 'け']",[]
59,移,448,"['shift', 'move', 'change', 'drift', 'catch (cold, fire)', 'pass into']",['イ'],"['うつ.る', 'うつ.す']",[]
60,維,643,"['fiber', 'tie', 'rope']",['イ'],[],"['これ', 'たもつ', 'つぐ', 'ゆい', 'ゆき']"
61,緯,1430,"['horizontal', 'woof', 'left & right', '(parallels of) latitude', 'prediction']",['イ'],"['よこいと', 'ぬき']",[]
62,胃,1647,"['stomach', 'paunch', 'crop', 'craw']",['イ'],[],[]
63,萎,,"['wither', 'droop', 'lame']",['イ'],"['な', 'しお.れる', 'しな.びる', 'しぼ.む', 'な.える']",[]
64,衣,1214,"['garment', 'clothes', 'dressing']","['イ', 'エ']","['ころも', 'きぬ', '-ぎ']",[]
65,謂,,"['reason', 'origin', 'history', 'oral tradition']",['イ'],"['い.う', 'いい', 'おも.う', 'いわゆる']",[]
66,違,344,"['difference', 'differ']",['イ'],"['ちが.う', 'ちが.い', 'ちが.える', '-ちが.える', 'たが.う', 'たが.える']",[]
67,遺,647,"['bequeath', 'leave behind', 'reserve']","['イ', 'ユイ']",['のこ.す'],[]
68,医,437,"['doctor', 'medicine']",['イ'],"['い.やす', 'い.する', 'くすし']",[]
69,井,339,"['well', 'well crib', 'town', 'community']","['セイ', 'ショウ']",['い'],"['いの', 'さい', 'ひ']"
70,亥,,"['sign of the hog', '9-11PM', 'twelfth sign of the Chinese zodiac']","['ガイ', 'カイ']",['い'],['り']
71,域,396,"['range', 'region', 'limits', 'stage', 'level']",['イキ'],[],[]
72,育,369,"['bring up', 'grow up', 'raise', 'rear']",['イク'],"['そだ.つ', 'そだ.ち', 'そだ.てる', 'はぐく.む']",['やす']
73,郁,1920,"['cultural progress', 'perfume']",['イク'],[],"['あや', 'かおる', 'い', 'か', 'ふみ', 'ゆう']"
74,磯,1444,"['seashore', 'beach']",['キ'],['いそ'],"['し', 'そ']"
75,一,2,"['one', 'one radical (no.1)']","['イチ', 'イツ']","['ひと-', 'ひと.つ']","['かず', 'い', 'いっ', 'いる', 'かつ', 'かづ', 'てん', 'はじめ', 'ひ', 'ひとつ', 'まこと']"
76,壱,2351,['one (in documents)'],"['イチ', 'イツ']",['ひとつ'],"['い', 'かず']"
77,溢,2405,"['overflow', 'inundate', 'spill']",['イツ'],"['こぼ.れる', 'あふ.れる', 'み.ちる']",[]
78,逸,1524,"['deviate', 'idleness', 'leisure', 'miss the mark', 'evade', 'elude', 'parry', 'diverge']",['イツ'],"['そ.れる', 'そ.らす', 'はぐ.れる']","['いっ', 'はや', 'へん']"
79,稲,1038,['rice plant'],"['トウ', 'テ']","['いね', 'いな-']","['いの', 'しね', 'せ', 'な']"
